TITOLO;TIPO;DATA_INIZIO;TUTTO_GIORNO;ORA_INIZIO;DATA_FINE;ORA_FINE;LUOGO;FUSO_ORARIO;AVVISO_PRE_EVENTO;NOTA;DESCRIZIONE;TAGS;COMMENTO_POST;VOTO;;
Convegno internazionale sull'educazione;EVENTO;17/01/2024;;15:00;17/01/2024;16:50;Kaptol 5, Zagabria, Croazia;+1;"""Conferma la registrazione al convegno sull'educazione alle 15:00 a Zagabria.""";"""Registrazione all'ingresso. Coffee break incluso.""";"""Convegno educativo con relatori internazionali che condividono innovazioni e metodologie nell'istruzione.""";Cultura, Internazionale, Formazione;"""Mostra d'arte molto interessante, opere uniche e variegate. Location suggestiva.""";4;;
Serata karaoke;ATTIVITA;18/01/2024;;21:00;18/01/2024;23:50;Calle de San Vicente M†rtir, Valencia, Spagna;+1;"""Scegli una canzone per la serata karaoke alle 21:00 a Valencia.""";"""Microfono disponibile per partecipanti. Bevande offerte dal locale.""";"""Divertente serata karaoke in un locale alla moda, perfetta per cantare i successi del momento con gli amici.""";Karaoke, Divertimento, Sociale;"""Pranzo di Natale delizioso, cibo eccellente e compagnia piacevole. Atmosfera natalizia perfetta.""";5;;
Lezione di yoga;ATTIVITA;18/01/2024;;18:00;18/01/2024;19:00;Calle de la Paz, Valencia, Spagna;+1;"""Non dimenticare il tappetino per la lezione di yoga di stasera alle 18:00 a Valencia.""";"""Spogliatoi disponibili. Si consiglia di arrivare 10 minuti prima.""";"""Sessione di yoga rilassante in un ambiente tranquillo, ideale per principianti e intermedi.""";Yoga, Benessere, Salute;"""Il corso di cucina vegan ä stato illuminante, ho imparato ricette nuove e gustose.""";4;;
Visita al parco nazionale;EVENTO;18/01/2024;;11:00;18/01/2024;13:45;JÑrnvÑgsgatan 11, Helsingborg, Svezia;+1;"""Pianifica il percorso per la visita al parco nazionale alle 11:00 a Helsingborg.""";"""Biglietto d'ingresso al parco. Parcheggio disponibile.""";"""Visita al parco nazionale per godere della natura incontaminata e scoprire la fauna e flora locali.""";Natura, Escursione;"""Seminario sulla sostenibilitÖ molto informativo, relatori esperti e argomenti attuali.""";4;;
Incontro con consulente finanziario;ATTIVITA;18/01/2024;;08:30;18/01/2024;08:35;Rua de Cedofeita, Porto, Portogallo;+0;"""Raccogli i documenti per l'incontro con il consulente finanziario alle 08:30 a Porto.""";"""Parcheggio gratuito. Si raccomanda di portare documenti finanziari.""";"""Incontro con consulente finanziario per pianificare investimenti e gestire al meglio le finanze personali.""";Finanze, Pianificazione, Formazione;"""Convegno sull'educazione molto stimolante, ottime idee per innovare nel campo dell'insegnamento.""";4;;
Conferenza marketing digitale;EVENTO;20/01/2024;;10:00;20/01/2024;11:25;Ul. Miodowa 10, Varsavia, Polonia;+1;"""Carica il tablet per la conferenza marketing digitale alle 10:00 a Varsavia.""";"""Wi-Fi disponibile. Si raccomanda puntualitÖ.""";"""Conferenza incentrata sulle ultime tendenze del marketing digitale e l'impatto sui consumatori.""";Marketing, Conferenza, Formazione;"""Esibizione di balletto incantevole, performance di alto livello in un teatro storico.""";5;;
Degustazione vini locali;EVENTO;20/01/2024;H24;;20/01/2024;;Rue de la Barre, Losanna, Svizzera;+1;"""Ricorda di prenotare per la degustazione vini locali alle 18:00 a Losanna.""";"""Prenotazione necessaria. Si consiglia di arrivare in anticipo.""";"""Degustazione di vini locali per esplorare i sapori e le tradizioni enologiche della regione.""";Vini, Cultura;"""Torneo di tennis divertente e ben organizzato. Grande spirito sportivo tra i partecipanti.""";4;;
Esibizione balletto classico;EVENTO;20/01/2024;;19:45;20/01/2024;22:30;Ak†cfa u. 24, Budapest, Ungheria;+1;"""Scegli un abito elegante per l'esibizione di balletto alle 19:45 a Budapest.""";"""Abbigliamento formale richiesto. Parcheggio disponibile.""";"""Serata di balletto classico con esibizione di ballerini professionisti in un teatro storico.""";Balletto, Cultura, Spettacolo;"""Vacanza al mare rilassante, tempo splendido e paesaggi mozzafiato.""";4;;
Cena annuale club del libro;EVENTO;20/01/2024;;20:00;20/01/2024;21:00;Rue de la RÇpublique, Lyon, Francia;+1;"""Scegli un libro da portare alla cena annuale del club del libro alle 20:00 a Lyon.""";"""Dress code casual elegante. Parcheggio nelle vicinanze.""";"""Serata conviviale per gli amanti dei libri, con discussione sul romanzo del mese e scambio di consigli di lettura.""";Lettura, Sociale, Cultura;"""Festa di Ferragosto molto divertente, ottima musica e cibo delizioso. Bellissima location.""";5;;
Trekking nella natura;EVENTO;21/01/2024;;07:30;21/01/2024;09:25;Vodi?kova 36, Praga, Repubblica Ceca;+1;"""Verifica le scarpe da trekking per il trekking nella natura alle 07:30 a Praga.""";"""Scarpe da trekking richieste. Fonti d'acqua lungo il percorso.""";"""Trekking guidato nella natura, un'occasione per esercitarsi fisicamente e apprezzare paesaggi incantevoli.""";Natura, Trekking, Sport, Ferie, Salute;"""Visita al museo di storia educativa, ho scoperto molto sulla cultura locale.""";4;;
Torneo di tennis locale;ATTIVITA;22/01/2024;;10:00;22/01/2024;16:00;Calea Victoriei, Bucarest, Romania;+2;"""Verifica la racchetta per il torneo di tennis locale alle 10:00 a Bucarest.""";"""Iscrizione necessaria. Spogliatoi e docce disponibili.""";"""Torneo locale di tennis aperto a giocatori di tutti i livelli, con l'obiettivo di promuovere lo sport e la salute.""";Sport, Torneo, Ferie, Salute;"""Cena di Halloween esilarante, ottimi cibi a tema e costumi creativi.""";4;;
Gita in montagna;EVENTO;22/01/2024;;07:00;22/01/2024;21:00;Laisv?s al. 71, Kaunas, Lituania;+2;"""Verifica l'equipaggiamento per la gita in montagna alle 07:00 a Kaunas.""";"""Attrezzatura da escursionismo necessaria. Pranzo al sacco consigliato.""";"""Escursione giornaliera in montagna, con percorsi adatti a tutti i livelli e paesaggi mozzafiato.""";Natura, Salute, Sport, Ferie;"""Workshop di scrittura stimolante, ho migliorato la mia tecnica e creativitÖ narrativa.""";5;;
Inaugurazione nuova libreria;EVENTO;23/01/2024;;17:00;23/01/2024;19:30;Piata Unirii, Cluj-Napoca, Romania;+2;"""Partecipa all'inaugurazione della nuova libreria alle 17:00 a Cluj-Napoca.""";"""Sconti speciali per i primi visitatori. Vicino alla stazione.""";"""Inaugurazione di una nuova libreria indipendente con una vasta selezione di titoli e spazio per eventi culturali.""";Cultura, Inaugurazione;"""Capodanno in piazza fantastico, spettacolo pirotecnico impressionante e grande festa.""";4;;
Esame di guida;ATTIVITA;23/01/2024;;09:00;23/01/2024;;Pikk 69, Tallinn, Estonia;+2;"""Ripassa per l'esame di guida domani alle 09:00 a Tallinn.""";"""Documentazione richiesta. Parcheggio disponibile.""";"""Sostenere l'esame di guida per ottenere la patente, dopo un corso di preparazione intensivo.""";Guida, Apprendimento, Formazione;"""Parrucchiere eccellente, sono molto soddisfatto del nuovo taglio e stile.""";5;;
Corso di pittura ad olio;ATTIVITA;23/01/2024;;14:00;23/01/2024;16:30;Ankerstrasse 65, Zurigo, Svizzera;+1;"""Prepara i colori per il corso di pittura ad olio alle 14:00 a Zurigo.""";"""Materiali inclusi nel corso. Si consiglia di indossare abiti da lavoro.""";"""Corso di pittura ad olio per sviluppare abilitÖ artistiche e esprimere la propria creativitÖ.""";Arte, Cultura, Formazione;"""Lezione di chitarra utile, ho imparato nuovi accordi e migliorato la mia tecnica.""";4;;
Festa di compleanno;ATTIVITA;24/01/2024;;17:30;24/01/2024;19:20;Rua de Santa Catarina, Porto, Portogallo;+1;"""Prepara un regalo per la festa di compleanno alle 17:30 a Porto.""";"""Area giochi per bambini disponibile. Porta un regalo non ingombrante.""";"""Celebrazione festosa con giochi, musica e divertimento per il compleanno di un amico in un ambiente familiare.""";Compleanno, Divertimento;"""Giornata di volontariato gratificante, aiutare gli animali ä stata un'esperienza meravigliosa.""";4;;
Festival musicale estivo;EVENTO;24/01/2024;;16:00;24/01/2024;;Ve Sme?k†ch 22, Praga, Repubblica Ceca;+1;"""Prenota i biglietti per il festival musicale estivo alle 16:00 a Praga.""";"""Biglietti all'ingresso. Evento all'aperto, si consiglia abbigliamento comodo.""";"""Festival musicale estivo all'aperto, con una lineup di artisti emergenti e generi musicali vari.""";Musica, Estivo, Cultura, Ferie;"""Serata karaoke molto divertente, ambiente amichevole e molte risate.""";5;;
Workshop fotografia;ATTIVITA;25/01/2024;;14:00;25/01/2024;;Sk¢lavîr–ust°gur 22, Reykjav°k, Islanda;+0;"""Verifica la carica della macchina fotografica per il workshop alle 14:00 a Reykjav°k.""";"""Si consiglia di portare la propria attrezzatura fotografica.""";"""Workshop pratico di fotografia per migliorare le tecniche di scatto e composizione in ambienti urbani.""";Fotografia, CreativitÖ,, Formazione;"""Consulenza finanziaria utile, ho ricevuto ottimi consigli per le mie finanze.""";5;;
Corso di fotografia subacquea;ATTIVITA;25/01/2024;;15:00;25/01/2024;16:30;Ul. Stawki 2, Varsavia, Polonia;+1;"""Controlla l'attrezzatura per il corso di fotografia subacquea alle 15:00 a Varsavia.""";"""Lezione pratica in piscina. Si consiglia costume e asciugamano.""";"""Corso di fotografia subacquea, un'esperienza unica per catturare la bellezza del mondo sottomarino.""";Natura, Fotografia, Formazione, Sport;"""Escursione in montagna avventurosa, paesaggi stupendi e buona compagnia.""";4;;
Vacanza al mare;EVENTO;25/01/2024;H24;;25/01/2024;;V†ci u. 45, Budapest, Ungheria;+1;"""Prepara il costume per la vacanza al mare, partenza alle 12:00 da Budapest.""";"""Verifica orari delle maree se guidi. AttivitÖ all'aperto.""";"""Vacanza estiva al mare per rilassarsi e godersi il sole, con attivitÖ acquatiche e passeggiate sulla spiaggia.""";Natura, Vacanza, Relax, Mare, Ferie;"""Esame di guida passato! Il corso di preparazione ä stato molto efficace.""";5;;
Appuntamento dentista;ATTIVITA;26/01/2024;;11:20;26/01/2024;;Pilies g. 22, Vilnius, Lituania;+2;"""Conferma l'appuntamento dal dentista per domani alle 11:20 a Vilnius.""";"""Parcheggio limitato. Si consiglia di usare i trasporti pubblici.""";"""Controllo dentale semestrale per garantire la salute dei denti e delle gengive, con pulizia professionale.""";Dentista, Igiene, Salute;"""Corso di fotografia subacquea incredibile, ho catturato immagini mozzafiato.""";5;;
Visita a mostra di auto d'epoca;EVENTO;27/01/2024;;10:30;27/01/2024;;Storgatan 23, UmeÜ, Svezia;+1;"""Verifica l'orario per la visita a mostra di auto d'epoca alle 10:30 a UmeÜ.""";"""Parcheggio gratuito disponibile. Accesso facilitato per disabili.""";"""Visita a una mostra di auto d'epoca, un viaggio nella storia dell'automobilismo con modelli rari e storici.""";Auto, Storico, Cultura, Ferie;"""Barbecue in giardino riuscito, ottimo cibo e compagnia. Perfetto per l'estate.""";5;;
Festa di Ferragosto;EVENTO;27/01/2024;;20:30;27/01/2024;;Jernbanegade 11, Odense, Danimarca;+1;"""Organizza il trasporto per la festa di Ferragosto alle 20:30 a Odense.""";"""Evento all'aperto. Si consiglia abbigliamento comodo.""";"""Festa di Ferragosto in spiaggia con barbecue, musica dal vivo e fuochi d'artificio serali.""";Festa, Estivo, Ferie;"""Partita di calcio amatoriale divertente, buon esercizio e spirito di squadra.""";4;;
Barbecue in giardino;ATTIVITA;28/01/2024;;12:30;28/01/2024;;Rua Garrett, Lisbona, Portogallo;+0;"""Prepara il cibo per il barbecue in giardino alle 12:30 a Lisbona.""";"""Area barbecue pubblica. Si consiglia di portare proprie sedie.""";"""Barbecue estivo in giardino con amici e vicini, un momento perfetto per socializzare e godersi il bel tempo.""";Barbecue, Sociale, Cucina;"""Fiera del libro usato interessante, ho trovato alcune vere gemme.""";4;;
Visita al museo di storia;EVENTO;28/01/2024;;14:30;28/01/2024;;Nõrrebrogade 3, Aalborg, Danimarca;+1;"""Non dimenticare la guida per la visita al museo di storia alle 14:30 ad Aalborg.""";"""Biglietti ridotti per studenti. Audioguide disponibili.""";"""Visita guidata al museo di storia per scoprire artefatti e reperti unici, con focus sulla storia locale.""";Storia, Museo, Cultura, Ferie, Formazione;"""Escursione in montagna avventurosa, paesaggi stupendi e buona compagnia.""";4;;
Corso di ballo latino;ATTIVITA;28/01/2024;;19:00;28/01/2024;;Malaya Bronnaya Ulitsa, Mosca, Russia;+3;"""Scegli le scarpe adatte per il corso di ballo latino alle 19:00 a Mosca.""";"""Scarpe da ballo consigliate. Bar all'interno della location.""";"""Corso di ballo latino per imparare passi base e ritmi caldi, in un ambiente divertente e coinvolgente.""";Corso, Salute, Formazione;"""Corso di pittura ad olio molto creativo, ho esplorato nuove tecniche artistiche.""";5;;
Viaggio d'affari a Roma;EVENTO;29/01/2024;;07:00;29/01/2024;;Vasagatan 22, Stoccolma, Svezia;+1;"""Prepara il bagaglio per il viaggio d'affari a Roma, partenza alle 07:00.""";"""Check-in online consigliato. Documenti di viaggio richiesti.""";"""Viaggio d'affari per partecipare a una conferenza internazionale e networking con professionisti del settore.""";Viaggio, Conferenza;"""Festival musicale estivo eccezionale, grande varietÖ di artisti e musica.""";4;;
Partita di calcio amatoriale;ATTIVITA;29/01/2024;;17:00;29/01/2024;;Torggatan 3, Mariehamn, Isole èland;+2;"""Verifica l'attrezzatura per la partita di calcio amatoriale alle 17:00 a Mariehamn.""";"""Ingresso libero. Attrezzatura sportiva fornita.""";"""Partecipazione a una partita di calcio amatoriale, un evento comunitario per promuovere lo sport e l'amicizia.""";Calcio, Amatoriale, Sport;"""Mostra di auto d'epoca affascinante, ho ammirato veicoli storici rari.""";4;;
Fiera del libro usato;EVENTO;29/01/2024;;10:00;29/01/2024;;Calle Mayor, Madrid, Spagna;+1;"""Pianifica le letture per la fiera del libro usato alle 10:00 a Madrid.""";"""Sconto per acquisti in blocco. Parcheggio nelle vicinanze.""";"""Visita alla fiera del libro usato per trovare titoli rari e incontrare altri appassionati di lettura.""";Lettura, Fiera, Cultura;"""Corso di ballo latino energico, ho imparato passi nuovi e divertenti.""";4;;
Escursione in bicicletta;ATTIVITA;30/01/2024;;09:00;30/01/2024;;Rue de la RÇpublique, Marsiglia, Francia;+1;"""Prepara la bicicletta per l'escursione alle 09:00 a Marsiglia.""";"""Verifica la bici prima dell'evento. Punto assistenza meccanica disponibile.""";"""Escursione in bicicletta attraverso sentieri naturalistici, un modo salutare ed ecologico di esplorare.""";Bicicletta, Sport, Natura, Ferie, Salute;"""Visita al parco nazionale rilassante, ho apprezzato la bellezza naturale e la tranquillitÖ.""";5;;
Maratona cittadina;ATTIVITA;30/01/2024;;08:00;30/01/2024;;Gammel Kongevej 29, Copenhagen, Danimarca;+1;"""Allenati per la maratona cittadina, inizio alle 08:00 a Copenhagen.""";"""Iscrizione anticipata richiesta. Acqua e snack disponibili.""";"""Partecipazione alla maratona cittadina annuale, un evento che unisce sportivi di diverse capacitÖ per una causa benefica.""";Sport, Beneficenza, Maratona;"""Degustazione vini locali deliziosa, ho scoperto nuovi sapori e tradizioni.""";5;;
Cena di Halloween;EVENTO;30/01/2024;;18:30;30/01/2024;;ùvre Slottsgate 4, Oslo, Norvegia;+1;"""Scegli un costume per la cena di Halloween alle 18:30 a Oslo.""";"""Costume a tema consigliato. Parcheggio nelle vicinanze.""";"""Cena di Halloween in costume con menu a tema, giochi spaventosi e concorso per il miglior travestimento.""";Halloween, Divertimento;"""Trekking nella natura rigenerante, ottimo modo per staccare dalla routine.""";5;;
Mostra d'arte contemporanea;EVENTO;30/01/2024;;16:00;30/01/2024;;Wei·gerbergasse 18, Norimberga, Germania;+1;"""Ricorda il biglietto per la mostra d'arte contemporanea alle 16:00 a Norimberga.""";"""Biglietti disponibili all'ingresso. Accesso facilitato per disabili.""";"""Esplorazione della mostra d'arte contemporanea con opere di artisti emergenti e affermati.""";Arte, Cultura, Formazione;"""Workshop di giardinaggio informativo, ho imparato molto sulle piante e fiori.""";4;;
Workshop di scrittura creativa;ATTIVITA;30/01/2024;;09:00;30/01/2024;;Via Porta Dipinta, Bergamo, Italia;+1;"""Prepara il materiale per il workshop di scrittura creativa alle 09:00 a Bergamo.""";"""Porta quaderno e penne. Coffee break a metÖ sessione.""";"""Workshop di scrittura creativa per esplorare tecniche narrative e sviluppare storie originali.""";Scrittura, Workshop;"""Osservazione stellare meravigliosa, una notte chiara perfetta per l'astronomia.""";5;;
Workshop di giardinaggio;ATTIVITA;31/01/2024;;14:00;31/01/2024;;Calle de la Princesa, Madrid, Spagna;+1;"""Verifica gli attrezzi per il workshop di giardinaggio alle 14:00 a Madrid.""";"""Si consiglia di portare guanti da giardinaggio. Materiali forniti.""";"""Workshop di giardinaggio per imparare a coltivare piante e fiori, adatto a principianti e appassionati.""";Giardinaggio, Workshop;"""Visita al mercato biologico molto soddisfacente, prodotti freschi e di alta qualitÖ.""";4;;
Cena di gala benefica;EVENTO;31/01/2024;;19:00;31/01/2024;;Rue de la Boucherie, Lussemburgo, Lussemburgo;+1;"""Scegli un abito elegante per la cena di gala benefica alle 19:00 a Lussemburgo.""";"""Dress code formale. Parcheggio con valet disponibile.""";"""Cena di gala benefica per raccogliere fondi per un'organizzazione locale, con aste e intrattenimento.""";Beneficenza, Sociale, Volontariato;"""Cena di gala benefica elegante, ottima organizzazione e raccolti fondi importanti.""";5;;
Shopping natalizio;EVENTO;31/01/2024;;16:00;31/01/2024;;Via Cola di Rienzo, Roma, Italia;+1;"""Prepara la lista per lo shopping natalizio alle 16:00 a Roma.""";"""Consigliata prenotazione per ristoranti. Eventi speciali nei negozi.""";"""Sessione di shopping natalizio in giro per i negozi della cittÖ, alla ricerca di regali unici e speciali.""";Shopping, Regali;"""Shopping natalizio piacevole, trovati regali unici per tutti.""";4;;
Serata di osservazione stelle;EVENTO;31/01/2024;;22:00;31/01/2024;;Piotrkowska 217, ?¢d?, Polonia;+1;"""Non dimenticare il telescopio per la serata di osservazione stelle alle 22:00 a ?¢d?.""";"""Posti limitati, si consiglia prenotazione. Area osservazione designata.""";"""Serata di osservazione stellare, un'opportunitÖ unica per ammirare il cielo notturno e imparare l'astronomia.""";Astronomia, Notte;"""Serata al planetario affascinante, ho imparato molto sull'astronomia.""";4;;
Pranzo di Natale;EVENTO;31/01/2024;;13:00;31/01/2024;;Pikk 45, Tallinn, Estonia;+2;"""Prenota un regalo per il pranzo di Natale alle 13:00 a Tallinn.""";"""Prenotazione tavolo consigliata. Menó festivo speciale disponibile.""";"""Pranzo festivo per celebrare il Natale con amici e familiari, in un'atmosfera calda e accogliente.""";Natale, Famiglia, Cucina;"""Corso di sopravvivenza sfidante ma gratificante, ho acquisito nuove competenze utili.""";5;;
Capodanno in piazza;EVENTO;31/01/2024;H24;;31/01/2024;;MÅhlenstra·e 8, Lubecca, Germania;+1;"""Pianifica la serata per il Capodanno in piazza, inizio alle 23:00 a Lubecca.""";"""Evento in piazza, si consiglia di arrivare presto per un buon posto.""";"""Festeggiamenti di Capodanno in piazza con musica dal vivo, spettacolo pirotecnico e brindisi di mezzanotte.""";Capodanno, Pubblico;"""Inaugurazione della libreria riuscita, ambiente accogliente e vasta scelta di libri.""";5;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
